order_number,date,price,quantity,product_id,SKU
4045,12/07/2024,59.90,1,7223658512458,mei-clara-bran
4046,13/07/2024,259.00,1,7588861444170,POL-458-M
4046,13/07/2024,389.90,1,7420470394954,CAM-382-P
4046,13/07/2024,149.00,1,7492991582282,BON-418-U
4047,13/07/2024,269.00,1,6687221841994,TOP-PUR-PRE-P
4047,13/07/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
4048,13/07/2024,289.00,1,7331633004618,TOP-145-M
4048,13/07/2024,289.00,1,7331632480330,SHO-143-M
4048,13/07/2024,59.90,1,7223658512458,mei-clara-bran
4049,13/07/2024,329.00,1,7378794774602,LEG-149-M
4049,13/07/2024,329.00,1,7459360309322,LEG-389-P
4049,13/07/2024,329.00,1,6910076190794,LEG201
4049,13/07/2024,699.90,1,7237763498058,PUF-128-M
4050,13/07/2024,249.90,1,7223660216394,pul-moc-bra-p
4050,13/07/2024,269.00,1,7001212026954,top-sig-jun-p
4050,13/07/2024,269.00,1,7001211502666,sho-sig-jun-m
4051,13/07/2024,269.00,1,6856168243274,TOP147
4051,13/07/2024,329.00,1,6856165195850,LEG151
4051,13/07/2024,269.00,1,6856167948362,TOP139
4051,13/07/2024,329.00,1,6856164671562,LEG143
4052,13/07/2024,269.00,1,7045754159178,top-pur-ret-m
4052,13/07/2024,329.00,1,7045754126410,leg-pur-ret-g
4053,13/07/2024,269.00,1,7497520152650,TOP-442-M
4053,13/07/2024,269.00,1,7497520971850,SHO-445-M
4054,13/07/2024,59.90,1,7237760057418,MEI-122-U
4055,13/07/2024,269.00,1,6856168243274,TOP146
4056,13/07/2024,349.95,1,7588872061002,MOL-477-P
4056,13/07/2024,349.95,1,7588871274570,THE-473-P
4056,13/07/2024,699.90,1,7237763170378,PUF-126-M
4056,13/07/2024,219.00,1,7484588752970,T-S-408-P
4056,13/07/2024,229.00,1,7420468232266,BAB-377-P
4056,13/07/2024,229.00,1,7420468101194,BAB-376-P
4057,13/07/2024,329.00,1,7055529377866,leg-sig-pre-p
4057,13/07/2024,269.00,1,7001211797578,top-sig-azu-m
4058,13/07/2024,329.00,1,7459360309322,LEG-389-P
4058,13/07/2024,269.00,1,7459360440394,TOP-390-P
4059,13/07/2024,329.00,1,7396014325834,LEG-159-M
4059,13/07/2024,269.00,1,7396015505482,TOP-167-M
4060,13/07/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
4061,13/07/2024,329.00,1,7459360309322,LEG-389-M
4061,13/07/2024,269.00,1,7459360440394,TOP-390-P
4061,13/07/2024,229.00,1,7420468232266,BAB-377-M
4061,13/07/2024,249.90,1,7420467970122,LON-375-G
4062,13/07/2024,229.00,1,7420468232266,BAB-377-G
4062,13/07/2024,229.00,1,7420468428874,BAB-378-G
4062,13/07/2024,269.00,1,6687221841994,TOP-PUR-PRE-P
4062,13/07/2024,219.00,1,6687221284938,25405327001744
4062,13/07/2024,269.00,1,7459360440394,TOP-390-G
4062,13/07/2024,329.00,1,7459360309322,LEG-389-M
4062,13/07/2024,269.00,1,7001212387402,top-sig-pre-m
4062,13/07/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
4062,13/07/2024,269.00,1,7497520152650,TOP-442-P
4062,13/07/2024,269.00,1,7497520971850,SHO-445-M
4063,13/07/2024,329.00,1,7055529377866,leg-sig-pre-m
4063,13/07/2024,269.00,1,7001211437130,sho-sig-flo-p
4063,13/07/2024,269.00,1,7001211961418,top-sig-flo-p
4063,13/07/2024,269.00,1,7497520971850,SHO-445-G
4063,13/07/2024,269.00,1,7497520152650,TOP-442-M
4064,13/07/2024,279.90,1,6687222628426,LEG-HAR-BLU-M
4064,13/07/2024,349.95,1,7588869603402,MOL-468-P
4064,13/07/2024,329.00,1,7055529672778,leg-sig-jun-m
4064,13/07/2024,589.00,1,7722647748682,JAC-480-P
4065,13/07/2024,699.90,1,7237763498058,PUF-128-M
4065,13/07/2024,349.95,1,7588866621514,MOL-463-M
4066,13/07/2024,269.00,1,7459360538698,TOP-391-P
4067,13/07/2024,699.90,1,7237763498058,PUF-128-M
